gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,in_kzt,in_tx,avg_in_tx,out_deg,out_kzt,out_tx,avg_out_tx,pagerank,betweenness,n_seed_sources,in_concentration,pass_through,truncated_by_depth,is_isolated,component_id,norm_in_deg,norm_out_deg,norm_in_kzt,norm_out_kzt,norm_n_seed_sources,norm_betweenness,eligible_coordinator,score_coordinator,eligible_consolidator,score_consolidator,eligible_distributor,score_distributor,eligible_transit,score_transit,eligible_terminal,score_terminal,best_specialized_role,best_specialized_score,role_runner_up,runner_up_score,score_margin,data_limitation,next_request,priority_role,priority_sources,priority_volume,priority_brokerage,why,rank
100000000011452100,consolidator,0.74995,0,0.535946766799,Признаки консолидации: 3 плательщиков; далее 15% наблюдаемого входа. Требует проверки.,1,False,3,110000,7,15714.2857143,1,16685,2,8342.5,0.000476864025233,3.36849647358e-06,7,0.681818181818,0.151681818182,False,False,0,1,0.0611620795107,0.177212844709,0.00715199929564,0.7,0.00252098928534,False,0,True,0.74995,False,0,False,0,False,0,consolidator,0.74995,none,0,0.74995,partial_bank_month,Сверить полную выписку и более широкий период,0.36,0.14,0.0354425689418,0.000504197857067,"Вклад: роль 0.360, seed 0.140, вход 0.035, посредничество 0.001. Приоритет проверки, не оценка виновности.",123
100000000018102100,peripheral,0.49,0,0.182255436205,Входящих связей 1; обход обрезан на глубине 4. Исходящие неизвестны: нужен дозапрос. Специальная роль не подтверждена.,4,False,1,7000,1,7000,0,0,0,,0.000320402947245,0,7,1,0,True,False,0,0.333333333333,0,0.0112771810269,0,0.7,0,False,0,False,0,False,0,False,0,False,0,none,0,none,0,0,truncated_at_hop_4,Запросить исходящие за границей обхода,0.04,0.14,0.00225543620539,0,"Вклад: роль 0.040, seed 0.140, вход 0.002, посредничество 0.000. Приоритет проверки, не оценка виновности.",1739
100000000031787100,transit,0.743497698247,6,0.249057782893,"Признаки транзита: вход 90,000 KZT; выход/вход 1.00. Это месячная выборка, требует проверки.",2,False,1,90000,2,45000,2,90000,4,22500,0.000431535630485,3.96293702774e-07,1,1,1,False,False,0,0.333333333333,0.122324159021,0.144992327489,0.0385783600005,0.1,0.000296586974745,False,0,False,0,False,0,True,0.743497698247,False,0,transit,0.743497698247,none,0,0.743497698247,partial_bank_month,Сверить полную выписку и более широкий период,0.2,0.02,0.0289984654979,5.93173949491e-05,"Вклад: роль 0.200, seed 0.020, вход 0.029, посредничество 0.000. Приоритет проверки, не оценка виновности.",836
100000000041368100,terminal,0.703105655104,2,0.411552827552,"Гипотеза конечного получателя: вход 160,000 KZT, исходящих 0; глубина 1. Полный баланс неизвестен.",1,False,1,160000,1,160000,0,0,0,,0.000317607123619,0,10,1,0,False,False,0,0.333333333333,0,0.257764137759,0,1,0,False,0,False,0,False,0,False,0,True,0.703105655104,terminal,0.703105655104,none,0,0.703105655104,partial_bank_month,Сверить полную выписку и более широкий период,0.16,0.2,0.0515528275518,0,"Вклад: роль 0.160, seed 0.200, вход 0.052, посредничество 0.000. Приоритет проверки, не оценка виновности.",245
100000000076451100,peripheral,0.49,15,0.222881386893,"Недостаточно признаков специальной роли: входящих связей 3, исходящих 4. Не вывод о безвредности.",2,False,3,87707,4,21926.75,4,58000,4,14500,0.00139620086414,9.76863977338e-05,7,0.486928067315,0.661292713238,False,False,0,1,0.244648318043,0.14129824519,0.0248616097781,0.7,0.0731086892747,False,0,False,0,False,0,False,0,False,0,none,0,none,0,0,partial_bank_month,Сверить полную выписку и более широкий период,0.04,0.14,0.028259649038,0.0146217378549,"Вклад: роль 0.040, seed 0.140, вход 0.028, посредничество 0.015. Приоритет проверки, не оценка виновности.",1015
100000000089154100,distributor,0.696918808796,0,0.43953044609,"Признаки распределения: 15 получателей, 425,500 KZT исходящих. Требует проверки.",1,False,1,10000,1,10000,15,425500,21,20261.9047619,0.000287445818449,0.000108954784611,7,1,42.55,False,False,0,0.333333333333,0.917431192661,0.0161102586099,0.182389913113,0.7,0.0815419718394,False,0,False,0,True,0.696918808796,False,0,False,0,distributor,0.696918808796,none,0,0.696918808796,partial_bank_month,Сверить полную выписку и более широкий период,0.28,0.14,0.00322205172199,0.0163083943679,"Вклад: роль 0.280, seed 0.140, вход 0.003, посредничество 0.016. Приоритет проверки, не оценка виновности.",205
100000000190228100,peripheral,0.49,8,0.204843823886,"Недостаточно признаков специальной роли: входящих связей 1, исходящих 1. Не вывод о безвредности.",2,False,1,5000,1,5000,1,28560,1,28560,0.000582006818187,2.15980068012e-05,8,1,5.712,False,False,0,0.333333333333,0.0611620795107,0.00805512930496,0.0122421995735,0.8,0.0161639901236,False,0,False,0,False,0,False,0,False,0,none,0,none,0,0,partial_bank_month,Сверить полную выписку и более широкий период,0.04,0.16,0.00161102586099,0.00323279802473,"Вклад: роль 0.040, seed 0.160, вход 0.002, посредничество 0.003. Приоритет проверки, не оценка виновности.",1149
100000000201868100,transit,0.791828474077,53,0.401218982718,"Признаки транзита: вход 190,000 KZT; выход/вход 1.00. Это месячная выборка, требует проверки.",2,False,1,190000,1,190000,1,190000,1,190000,0.000974643250923,0,7,1,1,False,False,0,0.333333333333,0.0611620795107,0.306094913589,0.0814432044455,0.7,0,False,0,False,0,False,0,True,0.791828474077,False,0,transit,0.791828474077,none,0,0.791828474077,partial_bank_month,Сверить полную выписку и более широкий период,0.2,0.14,0.0612189827177,0,"Вклад: роль 0.200, seed 0.140, вход 0.061, посредничество 0.000. Приоритет проверки, не оценка виновности.",267
100000000254336100,peripheral,0.49,0,0.214187825674,"Недостаточно признаков специальной роли: входящих связей 2, исходящих 1. Не вывод о безвредности.",3,False,2,97177,2,48588.5,1,60000,1,60000,0.000291935142769,1.92202445845e-05,7,0.716095372362,0.617430050321,False,False,0,0.666666666667,0.0611620795107,0.156554660094,0.025718906667,0.7,0.0143844682752,False,0,False,0,False,0,False,0,False,0,none,0,none,0,0,partial_bank_month,Сверить полную выписку и более широкий период,0.04,0.14,0.0313109320187,0.00287689365503,"Вклад: роль 0.040, seed 0.140, вход 0.031, посредничество 0.003. Приоритет проверки, не оценка виновности.",1063
100000000267734100,peripheral,0.49,6,0.11853078755,"Недостаточно признаков специальной роли: входящих связей 2, исходящих 7. Не вывод о безвредности.",1,False,2,180000,4,45000,7,282000,8,35250,0.000537319077789,3.56664332497e-06,1,0.666666666667,1.56666666667,False,False,0,0.666666666667,0.428134556575,0.289984654979,0.120878861335,0.1,0.00266928277271,False,0,False,0,False,0,False,0,False,0,none,0,none,0,0,partial_bank_month,Сверить полную выписку и более широкий период,0.04,0.02,0.0579969309957,0.000533856554542,"Вклад: роль 0.040, seed 0.020, вход 0.058, посредничество 0.001. Приоритет проверки, не оценка виновности.",1804
