порог,значение,текущий,изменилось_ролей,consolidator,distributor,transit,terminal,coordinator,peripheral
roles.consolidator.min_in_degree,2.0,False,91,176,56,42,420,12,1542
roles.consolidator.min_in_degree,3.0,True,0,85,56,42,472,12,1581
roles.consolidator.min_in_degree,4.0,False,43,42,56,42,495,12,1601
roles.consolidator.min_in_degree,5.0,False,62,23,56,42,505,12,1610
roles.consolidator.min_in_degree,8.0,False,79,6,56,42,511,12,1621
roles.consolidator.max_pass_through,0.4,False,6,79,56,42,472,12,1587
roles.consolidator.max_pass_through,0.6,True,0,85,56,42,472,12,1581
roles.consolidator.max_pass_through,0.8,False,8,93,56,42,472,12,1573
roles.distributor.min_out_degree,5.0,False,7,85,63,42,472,12,1574
roles.distributor.min_out_degree,10.0,True,0,85,56,42,472,12,1581
roles.distributor.min_out_degree,20.0,False,31,85,25,43,472,15,1608
roles.distributor.min_out_degree,60.0,False,48,85,8,43,472,21,1619
roles.terminal.min_in_kzt,5000.0,False,565,85,56,42,1037,12,1016
roles.terminal.min_in_kzt,50000.0,True,0,85,56,42,472,12,1581
roles.terminal.min_in_kzt,250000.0,False,353,85,56,42,119,12,1934
roles.terminal.min_in_kzt,1000000.0,False,468,85,56,42,4,12,2049
roles.coordinator.min_normalized_betweenness,0.5,False,1,85,56,42,472,13,1580
roles.coordinator.min_normalized_betweenness,0.7,True,0,85,56,42,472,12,1581
roles.coordinator.min_normalized_betweenness,0.9,False,1,85,57,42,472,11,1581
roles.minimum_score,0.4,False,8,85,58,48,472,12,1573
roles.minimum_score,0.5,True,0,85,56,42,472,12,1581
roles.minimum_score,0.6,False,16,85,48,34,472,12,1597
